offer_id,price,old_price,currency,availability
НФ-00002199,165.1,,UAH,true
НФ-00008006,244.22,,UAH,true
НФ-00005021,198.11,,UAH,true
НФ-00008005,277.24,,UAH,true
НФ-00003453,26.17,,UAH,true
НФ-00005023,198.11,,UAH,true
НФ-00005979,191.27,,UAH,true
НФ-00005888,957.56,,UAH,true
НФ-00003137,178.18,,UAH,true
НФ-00005921,152.01,,UAH,true
НФ-00003138,191.27,,UAH,true
НФ-00008010,462.27,,UAH,true
НФ-00005019,198.11,,UAH,true
НФ-00005981,158.24,,UAH,true
НФ-00005020,198.11,,UAH,true
НФ-00004845,178.18,,UAH,true
НФ-00005924,152.01,,UAH,true
НФ-00003135,191.27,,UAH,true
НФ-00006091,165.1,,UAH,true
НФ-00004863,178.18,,UAH,true
НФ-00002683,224.28,,UAH,true
НФ-00007182,211.2,,UAH,true
НФ-00005024,158.24,,UAH,true
НФ-00001458,237.99,,UAH,true
НФ-00008073,34.27,,UAH,true
НФ-00004954,178.18,,UAH,true
НФ-00001523,264.15,,UAH,true
НФ-00002682,191.27,,UAH,true
НФ-00005228,231.14,,UAH,true
НФ-00004582,495.29,,UAH,true
НФ-00007614,627.37,,UAH,true
НФ-00006259,46.1,,UAH,true
НФ-00006092,330.19,,UAH,true
НФ-00005284,231.14,,UAH,true
НФ-00003153,16.83,,UAH,true
НФ-00003125,198.11,,UAH,true
НФ-00005172,237.99,,UAH,true
НФ-00007525,211.2,,UAH,true
НФ-00003530,545.13,,UAH,true
НФ-00006206,198.11,,UAH,true
НФ-00006019,132.08,,UAH,true
НФ-00002115,363.22,,UAH,true
НФ-00002122,396.23,,UAH,true
НФ-00007074,132.08,,UAH,true
НФ-00005309,462.27,,UAH,true
НФ-00002120,396.23,,UAH,true
НФ-00005048,508.37,,UAH,true
НФ-00002126,264.15,,UAH,true
НФ-00005278,330.19,,UAH,true
НФ-00005277,264.15,,UAH,true
НФ-00007989,317.11,,UAH,true
НФ-00006972,244.22,,UAH,true
НФ-00002687,251.08,,UAH,true
НФ-00007222,99.06,,UAH,true
НФ-00004456,66.04,,UAH,true
НФ-00002548,251.08,,UAH,true
НФ-00004462,59.19,,UAH,true
НФ-00002558,251.08,,UAH,true
НФ-00004941,469.13,,UAH,true
НФ-00007090,76.01,,UAH,true
НФ-00002204,145.17,,UAH,true
НФ-00007998,317.11,,UAH,true
НФ-00002576,251.08,,UAH,true
НФ-00006376,66.04,,UAH,true
НФ-00002197,59.19,,UAH,true
НФ-00006267,231.14,,UAH,true
НФ-00000579,858.49,,UAH,true
НФ-00003160,208.08,,UAH,true
НФ-00003161,201.24,,UAH,true
НФ-00003158,132.08,,UAH,true
НФ-00007078,436.1,,UAH,true
НФ-00006032,52.96,,UAH,true
НФ-00002227,33.03,,UAH,true
НФ-00000577,449.19,,UAH,true
НФ-00005343,759.44,,UAH,true
НФ-00000578,825.48,,UAH,true
НФ-00002212,152.01,,UAH,true
НФ-00006178,1023.6,,UAH,true
НФ-00008068,1340.7,,UAH,true
НФ-00001390,554.47,,UAH,true
НФ-00004788,251.08,,UAH,true
НФ-00004790,251.08,,UAH,true
НФ-00007223,383.15,,UAH,true
НФ-00001397,383.15,,UAH,true
НФ-00000175,376.29,,UAH,true
НФ-00007661,541.39,,UAH,true
НФ-00007284,122.11,,UAH,true
НФ-00007199,416.16,,UAH,true
НФ-00004786,251.08,,UAH,true
НФ-00008060,442.33,,UAH,true
НФ-00008065,561.33,,UAH,true
НФ-00008072,363.22,,UAH,true
НФ-00004787,251.08,,UAH,true
НФ-00004789,251.08,,UAH,true
НФ-00001362,343.28,,UAH,true
НФ-00001381,746.35,,UAH,true
НФ-00007030,416.16,,UAH,true
НФ-00001408,990.57,,UAH,true
НФ-00007189,561.33,,UAH,true
НФ-00001380,561.33,,UAH,true
НФ-00002284,264.15,,UAH,true
НФ-00002313,5613.23,,UAH,true
НФ-00007410,264.15,,UAH,true
НФ-00004927,594.34,,UAH,true
НФ-00002245,990.57,,UAH,true
НФ-00003172,85.97,,UAH,true
НФ-00006974,178.18,,UAH,true
НФ-00001265,198.11,,UAH,true
НФ-00001856,297.18,,UAH,true
НФ-00008026,627.37,,UAH,true
НФ-00004574,297.18,,UAH,true
НФ-00001979,376.29,,UAH,true
НФ-00001986,313.99,,UAH,true
НФ-00001990,231.14,,UAH,true
НФ-00002016,545.13,,UAH,true
НФ-00007321,660.38,,UAH,true
НФ-00003175,195.01,,UAH,true
НФ-00003554,237.99,,UAH,true
НФ-00003565,257.31,,UAH,true
НФ-00003568,264.15,,UAH,true
НФ-00003567,310.25,,UAH,true
НФ-00003570,462.27,,UAH,true
НФ-00003540,330.19,,UAH,true
НФ-00003548,264.15,,UAH,true
НФ-00003558,370.06,,UAH,true
НФ-00000586,204.97,,UAH,true
НФ-00003563,1056.61,,UAH,true
НФ-00003549,125.23,,UAH,true
НФ-00003542,138.94,,UAH,true
НФ-00007583,224.28,,UAH,true
НФ-00003544,171.95,,UAH,true
НФ-00006109,231.14,,UAH,true
НФ-00003543,155.13,,UAH,true
НФ-00001591,264.15,,UAH,true
НФ-00003546,112.14,,UAH,true
НФ-00003569,396.23,,UAH,true
НФ-00003534,145.17,,UAH,true
НФ-00003533,132.08,,UAH,true
НФ-00001796,145.17,,UAH,true
НФ-00000132,244.22,,UAH,true
НФ-00001797,152.01,,UAH,true
НФ-00005354,2311.33,,UAH,true
НФ-00001394,594.34,,UAH,true
НФ-00004970,759.44,,UAH,true
НФ-00001369,581.27,,UAH,true
НФ-00003187,99.06,,UAH,true
НФ-00007027,726.42,,UAH,true
НФ-00000592,429.25,,UAH,true
НФ-00005115,383.15,,UAH,true
НФ-00003184,2971.71,,UAH,true
НФ-00001413,290.32,,UAH,true
НФ-00005353,2047.18,,UAH,true
НФ-00003181,1783.03,,UAH,true
НФ-00003182,1849.06,,UAH,true
НФ-00003188,152.01,,UAH,true
